date,portfolio_value
2015-11-11,575919.22
2015-11-12,575919.22
2015-11-13,575793.21
2015-11-16,601925.68
2015-11-17,603999.77
2015-11-18,622879.65
2015-11-19,623015.97
2015-11-20,622879.65
2015-11-23,617097.27
2015-11-24,615169.96
2015-11-25,616539.43
2015-11-27,618771.07
2015-11-30,608777.23
2015-12-01,626856.69
2015-12-02,633987.99
2015-12-03,634126.74
2015-12-04,634126.74
2015-12-07,624375.94
2015-12-08,624426.98
2015-12-09,615577.78
2015-12-10,615712.60
2015-12-11,615847.36
2015-12-14,626800.59
2015-12-15,637444.98
2015-12-16,665275.57
2015-12-17,665130.01
2015-12-18,665275.57
2015-12-21,668353.22
2015-12-22,681007.65
2015-12-23,696586.84
2015-12-24,695154.25
2015-12-28,699903.14
2015-12-29,731823.44
2015-12-30,713127.99
2015-12-31,686678.23
2016-01-04,690886.85
2016-01-05,684702.70
2016-01-06,666343.46
2016-01-07,622925.44
2016-01-08,622925.44
2016-01-11,615580.30
2016-01-12,637815.69
2016-01-13,637676.13
2016-01-14,637536.50
2016-01-15,637536.50
2016-01-19,616254.17
2016-01-20,610675.53
2016-01-21,618336.71
2016-01-22,618066.06
2016-01-25,595689.63
2016-01-26,612695.24
2016-01-27,567114.30
2016-01-28,593738.25
2016-01-29,593868.18
2016-02-01,607003.88
2016-02-02,568479.81
2016-02-03,579199.73
2016-02-04,579326.49
2016-02-05,579326.49
2016-02-08,585551.28
2016-02-09,578752.89
2016-02-10,585633.06
2016-02-11,584240.92
2016-02-12,609140.42
2016-02-16,621017.61
2016-02-17,657658.49
2016-02-18,657802.42
2016-02-19,657802.42
2016-02-22,670645.74
2016-02-23,637221.80
2016-02-24,615635.55
2016-02-25,615500.84
2016-02-26,615500.84
2016-02-29,600732.62
2016-03-01,630183.56
2016-03-02,630045.68
2016-03-03,630183.56
2016-03-04,630183.56
2016-03-07,628245.71
2016-03-08,611634.68
2016-03-09,619870.77
2016-03-10,619870.77
2016-03-11,619735.13
2016-03-14,629685.91
2016-03-15,629287.91
2016-03-16,645341.97
2016-03-17,643484.24
2016-03-18,647199.31
2016-03-21,657726.20
2016-03-22,663589.09
2016-03-23,647798.90
2016-03-24,647599.06
2016-03-28,638826.14
2016-03-29,664880.51
2016-03-30,664880.51
2016-03-31,664880.51
2016-04-01,664880.51
2016-04-04,657643.11
2016-04-05,639959.32
2016-04-06,641910.14
2016-04-07,641769.84
2016-04-08,641910.14
2016-04-11,626759.30
2016-04-12,641396.13
2016-04-13,657714.33
2016-04-14,657714.33
2016-04-15,657570.58
2016-04-18,672859.86
2016-04-19,661252.40
2016-04-20,662875.08
2016-04-21,663062.27
2016-04-22,633044.86
2016-04-25,639404.14
2016-04-26,630635.49
2016-04-27,615495.76
2016-04-28,617514.53
2016-04-29,617649.87
2016-05-02,630043.93
2016-05-03,613275.25
2016-05-04,601146.27
2016-05-05,606846.34
2016-05-06,606979.34
2016-05-09,611727.02
2016-05-10,637377.80
2016-05-11,619969.62
2016-05-12,611265.53
2016-05-13,603880.37
2016-05-16,624633.49
2016-05-17,600662.40
